Code	Type	Engels	Nederlands
RU-YAN, Name for	Autonomous district	Jamalo-Neneckij avtonomnyj okrug	Jamalië, Autonoom District
RU-YAR, Name for	Administrative region	Jaroslavskaja oblast'	Jaroslavl, Oblast
RU-YEV, Name for	Autonomous region	Evrejskaja avtonomnaja oblast'	Joodse Autonome Oblast
RU-ZAB, Name for	Administrative territory	Zabajkal'skij kraj	Zabajkalski, Kraj
RW-01, Name for	City	City of Kigali	Kigali
RW-02, Name for	Province	Eastern	Oost
RW-03, Name for	Province	Northern	Northern
RW-04, Name for	Province	Western	Western
RW-05, Name for	Province	Southern	Zuid
SA-01, Name for	Region	Ar Riyāḑ	Riyad
SA-02, Name for	Region	Makkah al Mukarramah	Mekka
SA-03, Name for	Region	Al Madīnah al Munawwarah	Medina
SA-04, Name for	Region	Ash Sharqīyah	Ash Sharqiyah
SA-05, Name for	Region	Al Qaşīm	Al Qasim
SA-06, Name for	Region	Ḩā'il	Hail
SA-07, Name for	Region	Tabūk	Tabuk
SA-08, Name for	Region	Al Ḩudūd ash Shamālīyah	Al Hudud ash Shamaliyah
SA-09, Name for	Region	Jāzān	Jizan
SA-10, Name for	Region	Najrān	Najran
SA-11, Name for	Region	Al Bāḩah	Al Bahah
SA-12, Name for	Region	Al Jawf	Al Jawf
SA-14, Name for	Region	'Asīr	Asir
SB-CE, Name for	Province	Central	Central
SB-CH, Name for	Province	Choiseul	Choiseul
SB-CT, Name for	Capital territory	Capital Territory (Honiara)	Honiara, Hoofdstedelijk Gewest
SB-GU, Name for	Province	Guadalcanal	Guadalcanal
SB-IS, Name for	Province	Isabel	Isabel
SB-MK, Name for	Province	Makira-Ulawa	Makira
SB-ML, Name for	Province	Malaita	Malaita
SB-RB, Name for	Province	Rennell and Bellona	Rennell-Bellona
SB-TE, Name for	Province	Temotu	Temotu
SB-WE, Name for	Province	Western	Western
SC-01, Name for	District	Anse aux Pins	Anse aux Pins
SC-02, Name for	District	Anse Boileau	Anse Boileau
SC-03, Name for	District	Anse Etoile	Anse Etoile
SC-04, Name for	District	Au Cap	Au Cap
SC-05, Name for	District	Anse Royale	Anse Royale
SC-06, Name for	District	Baie Lazare	Baie Lazare
SC-07, Name for	District	Baie Sainte Anne	Baie Sainte Anne
SC-08, Name for	District	Beau Vallon	Beau Vallon
SC-09, Name for	District	Bel Air	Bel Air
SC-10, Name for	District	Bel Ombre	Bel Ombre
SC-11, Name for	District	Cascade	Cascade
SC-12, Name for	District	Glacis	Glacis
SC-13, Name for	District	Grand Anse Mahe	Grand' Anse Mahé
SC-14, Name for	District	Grand Anse Praslin	Grand' Anse Praslin
SC-15, Name for	District	La Digue	La Digue
SC-16, Name for	District	English River	La Riviere Anglaise
SC-17, Name for	District	Mont Buxton	Mont Buxton
SC-18, Name for	District	Mont Fleuri	Mont Fleuri
SC-19, Name for	District	Plaisance	Plaisance
SC-20, Name for	District	Pointe Larue	Pointe La Rue
SC-21, Name for	District	Port Glaud	Port Glaud
SC-22, Name for	District	Saint Louis	Saint Louis
SC-23, Name for	District	Takamaka	Takamaka
SC-24, Name for	District	Les Mamelles	Les Mamelles
SC-25, Name for	District	Roche Caiman	Roche Caiman
SC-26, Name for	District	Ile Perseverance I	Ile Perseverance I
SC-27, Name for	District	Ile Perseverance II	Ile Perseverance II
SD-DC, Name for	State	Central Darfur	Centraal-Darfoer
SD-DE, Name for	State	East Darfur	Oost-Darfoer
SD-DN, Name for	State	North Darfur	Noord-Darfoer
SD-DS, Name for	State	South Darfur	Zuid-Darfoer
SD-DW, Name for	State	West Darfur	West-Darfoer
SD-GD, Name for	State	Gedaref	Al-Qadarif
SD-GK, Name for	State	West Kordofan	West-Kordofan
SD-GZ, Name for	State	Gezira	Al-Jazirah
SD-KA, Name for	State	Kassala	Kassala
SD-KH, Name for	State	Khartoum	Khartoem
SD-KN, Name for	State	North Kordofan	Noord-Kordofan
SD-KS, Name for	State	South Kordofan	Zuid-Kordofan
SD-NB, Name for	State	Blue Nile	Blauwe Nijl
SD-NO, Name for	State	Northern	Northern
SD-NR, Name for	State	River Nile	Nijl
SD-NW, Name for	State	White Nile	Witte Nijl
SD-RS, Name for	State	Red Sea	Rode zee
SD-SI, Name for	State	Sennar	Sennar
SE-AB, Name for	County	Stockholms län [SE-01]	Stockholms län
SE-AC, Name for	County	Västerbottens län [SE-24]	Västerbottens län
SE-BD, Name for	County	Norrbottens län [SE-25]	Norrbottens län
SE-C, Name for	County	Uppsala län [SE-03]	Uppsala län
SE-D, Name for	County	Södermanlands län [SE-04]	Södermanlands län
SE-E, Name for	County	Östergötlands län [SE-05]	Östergötlands län
SE-F, Name for	County	Jönköpings län [SE-06]	Jönköpings län
SE-G, Name for	County	Kronobergs län [SE-07]	Kronobergs län
SE-H, Name for	County	Kalmar län [SE-08]	Kalmar län
SE-I, Name for	County	Gotlands län [SE-09]	Gotlands län
SE-K, Name for	County	Blekinge län [SE-10]	Blekinge län
SE-M, Name for	County	Skåne län [SE-12]	Skåne län
SE-N, Name for	County	Hallands län [SE-13]	Hallands län
SE-O, Name for	County	Västra Götalands län [SE-14]	Västra Götalands län
SE-S, Name for	County	Värmlands län [SE-17]	Värmlands län
SE-T, Name for	County	Örebro län [SE-18]	Örebro län
SE-U, Name for	County	Västmanlands län [SE-19]	Västmanlands län
SE-W, Name for	County	Dalarnas län [SE-20]	Dalarnas län
SE-X, Name for	County	Gävleborgs län [SE-21]	Gävleborgs län
SE-Y, Name for	County	Västernorrlands län [SE-22]	Västernorrlands län
SE-Z, Name for	County	Jämtlands län [SE-23]	Jämtlands län
SG-01, Name for	District	Central Singapore	Singapore-Centrale-Regio
SG-02, Name for	District	North East	Noord-Oost
SG-03, Name for	District	North West	Noord-West
SG-04, Name for	District	South East	Zuid-Oost
SG-05, Name for	District	South West	Zuid-West
SH-AC, Name for	Geographical entity	Ascension	Ascension
SH-HL, Name for	Geographical entity	Saint Helena	Sint Helena
SH-TA, Name for	Geographical entity	Tristan da Cunha	Tristan da Cunha
SI-001, Name for	Municipality	Ajdovščina	Ajdovscina
SI-002, Name for	Municipality	Beltinci	Beltinci
SI-003, Name for	Municipality	Bled	Bled
SI-004, Name for	Municipality	Bohinj	Bohinj
SI-005, Name for	Municipality	Borovnica	Borovnica
SI-006, Name for	Municipality	Bovec	Bovec
SI-007, Name for	Municipality	Brda	Brda
SI-008, Name for	Municipality	Brezovica	Brezovica
SI-009, Name for	Municipality	Brežice	Brezica
SI-010, Name for	Municipality	Tišina	Tisina
SI-011, Name for	Municipality	Celje	Celje
SI-012, Name for	Municipality	Cerklje na Gorenjskem	Cerklje na Gorenjskem
SI-013, Name for	Municipality	Cerknica	Cerknica
SI-014, Name for	Municipality	Cerkno	Cerkno
SI-015, Name for	Municipality	Črenšovci	Crensovci
SI-016, Name for	Municipality	Črna na Koroškem	Crna na Koroskem
SI-017, Name for	Municipality	Črnomelj	Crnomelj
SI-018, Name for	Municipality	Destrnik	Destrnik
SI-019, Name for	Municipality	Divača	Divaca
SI-020, Name for	Municipality	Dobrepolje	Dobrepolje
SI-021, Name for	Municipality	Dobrova-Polhov Gradec	Dobrova-Polhov Gradec
SI-022, Name for	Municipality	Dol pri Ljubljani	Dol pri Ljubljani
SI-023, Name for	Municipality	Domžale	Domzale
SI-024, Name for	Municipality	Dornava	Dornava
SI-025, Name for	Municipality	Dravograd	Dravograd
SI-026, Name for	Municipality	Duplek	Duplek
SI-027, Name for	Municipality	Gorenja vas-Poljane	Gorenja vas-Poljane
SI-028, Name for	Municipality	Gorišnica	Gorsnica
SI-029, Name for	Municipality	Gornja Radgona	Gornja Radgona
SI-030, Name for	Municipality	Gornji Grad	Gornji Grad
SI-031, Name for	Municipality	Gornji Petrovci	Gornji Petrovci
SI-032, Name for	Municipality	Grosuplje	Grosuplje
SI-033, Name for	Municipality	Šalovci	Salovci
SI-034, Name for	Municipality	Hrastnik	Hrastnik
SI-035, Name for	Municipality	Hrpelje-Kozina	Hrpelje-Kozina
SI-036, Name for	Municipality	Idrija	Idrija
SI-037, Name for	Municipality	Ig	Ig
SI-038, Name for	Municipality	Ilirska Bistrica	Ilirska Bistrica
SI-039, Name for	Municipality	Ivančna Gorica	Ivancna Gorica
SI-040, Name for	Municipality	Izola	Izola
SI-041, Name for	Municipality	Jesenice	Jesenice
SI-042, Name for	Municipality	Juršinci	Jursinci
SI-043, Name for	Municipality	Kamnik	Kamnik
SI-044, Name for	Municipality	Kanal	Kanal
SI-045, Name for	Municipality	Kidričevo	Kidricevo
SI-046, Name for	Municipality	Kobarid	Kobarid
SI-047, Name for	Municipality	Kobilje	Kobilje
SI-048, Name for	Municipality	Kočevje	Kočevje
SI-049, Name for	Municipality	Komen	Komen
SI-050, Name for	Municipality	Koper	Koper
SI-051, Name for	Municipality	Kozje	Kozje
SI-052, Name for	Municipality	Kranj	Kranj
SI-053, Name for	Municipality	Kranjska Gora	Kranjska Gora
SI-054, Name for	Municipality	Krško	Krsko
SI-055, Name for	Municipality	Kungota	Kungota
SI-056, Name for	Municipality	Kuzma	Kuzma
SI-057, Name for	Municipality	Laško	Lasko
SI-058, Name for	Municipality	Lenart	Lenart
SI-059, Name for	Municipality	Lendava	Lendava
SI-060, Name for	Municipality	Litija	Litija
SI-061, Name for	Municipality	Ljubljana	Ljubljana
SI-062, Name for	Municipality	Ljubno	Ljubno
SI-063, Name for	Municipality	Ljutomer	Ljutomer
SI-064, Name for	Municipality	Logatec	Logatec
SI-065, Name for	Municipality	Loška dolina	Loska dolina
SI-066, Name for	Municipality	Loški Potok	Loski Potok
SI-067, Name for	Municipality	Luče	Luce
SI-068, Name for	Municipality	Lukovica	Lukovica
SI-069, Name for	Municipality	Majšperk	Majsperk
SI-070, Name for	Municipality	Maribor	Maribor
SI-071, Name for	Municipality	Medvode	Medvode
SI-072, Name for	Municipality	Mengeš	Menges
SI-073, Name for	Municipality	Metlika	Metlika
SI-074, Name for	Municipality	Mežica	Mezica
SI-075, Name for	Municipality	Miren-Kostanjevica	Miren-Kostanjevica
SI-076, Name for	Municipality	Mislinja	Mislinja
SI-077, Name for	Municipality	Moravče	Moravce
SI-078, Name for	Municipality	Moravske Toplice	Moravske Toplice
SI-079, Name for	Municipality	Mozirje	Mozirje
SI-080, Name for	Municipality	Murska Sobota	Murska Sobota
SI-081, Name for	Municipality	Muta	Muta
SI-082, Name for	Municipality	Naklo	Naklo
SI-083, Name for	Municipality	Nazarje	Nazarje
SI-084, Name for	Municipality	Nova Gorica	Nova Gorica
SI-085, Name for	Municipality	Novo Mesto	Novo mesto
SI-086, Name for	Municipality	Odranci	Odranci
SI-087, Name for	Municipality	Ormož	Ormoz
SI-088, Name for	Municipality	Osilnica	Osilnica
SI-089, Name for	Municipality	Pesnica	Pesnica
SI-090, Name for	Municipality	Piran	Piran
SI-091, Name for	Municipality	Pivka	Pivka
SI-092, Name for	Municipality	Podčetrtek	Podcetrtek
SI-093, Name for	Municipality	Podvelka	Podvelka
SI-094, Name for	Municipality	Postojna	Postojna
SI-095, Name for	Municipality	Preddvor	Preddvor
SI-096, Name for	Municipality	Ptuj	Ptuj
SI-097, Name for	Municipality	Puconci	Puconci
SI-098, Name for	Municipality	Rače-Fram	Race-Fram
SI-099, Name for	Municipality	Radeče	Radece
SI-100, Name for	Municipality	Radenci	Radenci
SI-101, Name for	Municipality	Radlje ob Dravi	Radlje ob Dravi
SI-102, Name for	Municipality	Radovljica	Radovljica
SI-103, Name for	Municipality	Ravne na Koroškem	Ravne na Koroskem
SI-104, Name for	Municipality	Ribnica	Ribnica
SI-105, Name for	Municipality	Rogašovci	Rogasovci
SI-106, Name for	Municipality	Rogaška Slatina	Rogaska Slatina
SI-107, Name for	Municipality	Rogatec	Rogatec
SI-108, Name for	Municipality	Ruše	Ruse
SI-109, Name for	Municipality	Semič	Semic
SI-110, Name for	Municipality	Sevnica	Sevnica
SI-111, Name for	Municipality	Sežana	Sezana
SI-112, Name for	Municipality	Slovenj Gradec	Slovenj Gradec
SI-113, Name for	Municipality	Slovenska Bistrica	Slovenska Bistrica
SI-114, Name for	Municipality	Slovenske Konjice	Slovenske Konjice
SI-115, Name for	Municipality	Starše	Starče
SI-116, Name for	Municipality	Sveti Jurij ob Ščavnici	Sveti Jurij
SI-117, Name for	Municipality	Šenčur	Sencur
SI-118, Name for	Municipality	Šentilj	Sentilj
SI-119, Name for	Municipality	Šentjernej	Sentjernej
SI-120, Name for	Municipality	Šentjur	Šentjur
SI-121, Name for	Municipality	Škocjan	Skocjan
SI-122, Name for	Municipality	Škofja Loka	Skofja Loka
SI-123, Name for	Municipality	Škofljica	Skoftjica
SI-124, Name for	Municipality	Šmarje pri Jelšah	Smarje pri Jelsah
SI-125, Name for	Municipality	Šmartno ob Paki	Smartno ob Paki
SI-126, Name for	Municipality	Šoštanj	Sostanj
SI-127, Name for	Municipality	Štore	Store
SI-128, Name for	Municipality	Tolmin	Tolmin
SI-129, Name for	Municipality	Trbovlje	Trbovje
SI-130, Name for	Municipality	Trebnje	Trebnje
SI-131, Name for	Municipality	Tržič	Trzic
SI-132, Name for	Municipality	Turnišče	Turnisce
SI-133, Name for	Municipality	Velenje	Velenje
SI-134, Name for	Municipality	Velike Lašče	Velika Lasce
SI-135, Name for	Municipality	Videm	Videm
SI-136, Name for	Municipality	Vipava	Vipava
SI-137, Name for	Municipality	Vitanje	Vitanje
SI-138, Name for	Municipality	Vodice	Vodice
SI-139, Name for	Municipality	Vojnik	Vojnik
SI-140, Name for	Municipality	Vrhnika	Vrhnika
SI-141, Name for	Municipality	Vuzenica	Vuzenica
SI-142, Name for	Municipality	Zagorje ob Savi	Zagorje ob Savi
SI-143, Name for	Municipality	Zavrč	Zavrc
SI-144, Name for	Municipality	Zreče	Zrece
SI-146, Name for	Municipality	Železniki	Zelezniki
SI-147, Name for	Municipality	Žiri	Ziri
SI-148, Name for	Municipality	Benedikt	Benedikt
SI-149, Name for	Municipality	Bistrica ob Sotli	Bistrica ob Sotli
SI-150, Name for	Municipality	Bloke	Bloke
SI-151, Name for	Municipality	Braslovče	Braslovce
SI-152, Name for	Municipality	Cankova	Cankova
SI-153, Name for	Municipality	Cerkvenjak	Cerkvenjak
SI-154, Name for	Municipality	Dobje	Dobje
SI-155, Name for	Municipality	Dobrna	Dobrna
SI-156, Name for	Municipality	Dobrovnik	Dobrovnik
SI-157, Name for	Municipality	Dolenjske Toplice	Dolenjske Toplice
SI-158, Name for	Municipality	Grad	Grad
SI-159, Name for	Municipality	Hajdina	Hajdina
SI-160, Name for	Municipality	Hoče-Slivnica	Hoce-Slivnica
SI-161, Name for	Municipality	Hodoš	Hodoš
SI-162, Name for	Municipality	Horjul	Jorjul
SI-163, Name for	Municipality	Jezersko	Jezersko
SI-164, Name for	Municipality	Komenda	Komenda
SI-165, Name for	Municipality	Kostel	Kostel
SI-166, Name for	Municipality	Križevci	Krizevci
SI-167, Name for	Municipality	Lovrenc na Pohorju	Lovrenc na Pohorju
SI-168, Name for	Municipality	Markovci	Markovci
SI-169, Name for	Municipality	Miklavž na Dravskem polju	Miklavz na Dravskern polju
SI-170, Name for	Municipality	Mirna Peč	Mirna Pec
SI-171, Name for	Municipality	Oplotnica	Oplotnica
SI-172, Name for	Municipality	Podlehnik	Podlehnik
SI-173, Name for	Municipality	Polzela	Polzela
SI-174, Name for	Municipality	Prebold	Prebold
SI-175, Name for	Municipality	Prevalje	Prevalje
SI-176, Name for	Municipality	Razkrižje	Razkrizje
SI-177, Name for	Municipality	Ribnica na Pohorju	Ribnica na Pohorju
SI-178, Name for	Municipality	Selnica ob Dravi	Selnica ob Dravi
SI-179, Name for	Municipality	Sodražica	Sodrazica
SI-180, Name for	Municipality	Solčava	Solcava
SI-181, Name for	Municipality	Sveta Ana	Sveta Ana
SI-182, Name for	Municipality	Sveti Andraž v Slovenskih goricah	Sveta Andraž v Slovenskih Goricah
SI-183, Name for	Municipality	Šempeter-Vrtojba	Sempeter-Vrtojba
SI-184, Name for	Municipality	Tabor	Tabor
SI-185, Name for	Municipality	Trnovska Vas	Trnovska vas
SI-186, Name for	Municipality	Trzin	Trzin
SI-187, Name for	Municipality	Velika Polana	Velika Polana
SI-188, Name for	Municipality	Veržej	Verzej
SI-189, Name for	Municipality	Vransko	Vransko
SI-190, Name for	Municipality	Žalec	Žalec
SI-191, Name for	Municipality	Žetale	Zetale
SI-192, Name for	Municipality	Žirovnica	Zirovnica
SI-193, Name for	Municipality	Žužemberk	Zuzemberk
SI-194, Name for	Municipality	Šmartno pri Litiji	Smartno pri Litiji
SI-195, Name for	Municipality	Apače	Apače
SI-196, Name for	Municipality	Cirkulane	Cirkulane
SI-197, Name for	Municipality	Kosanjevica na Krki	Kosanjevica na Krki
SI-198, Name for	Municipality	Makole	Makole
SI-199, Name for	Municipality	Mokronog-Trebelno	Mokronog-Trebelno
SI-200, Name for	Municipality	Poljčane	Poljčane
SI-201, Name for	Municipality	Renče-Vogrsko	Renče-Vogrsko
SI-202, Name for	Municipality	Središče ob Dravi	Središče ob Dravi
SI-203, Name for	Municipality	Straža	Straža
SI-204, Name for	Municipality	Sveta Trojica v Slovenskih goricah	Sveta Trojica v Slovenskih Goricah
SI-205, Name for	Municipality	Sveti Tomaž	Sveti Tomaž
SI-206, Name for	Municipality	Šmarješke Toplice	Šmarjeske Topliče
SI-207, Name for	Municipality	Gorje	Gorje
SI-208, Name for	Municipality	Log-Dragomer	Log-Dragomer
SI-209, Name for	Municipality	Rečica ob Savinji	Rečica ob Savinji
SI-210, Name for	Municipality	Sveti Jurij v Slovenskih goricah	Sveti Jurij v Slovenskih Goricah
SI-211, Name for	Municipality	Šentrupert	Šentrupert
SI-212, Name for	Municipality	Mirna	Mirna Pec
SI-213, Name for	Municipality	Ankaran	Ankara
SK-BC, Name for	Region	Banskobystrický kraj	Banská Bystrica, Regio
SK-BL, Name for	Region	Bratislavský kraj	Bratislava, Regio
SK-KI, Name for	Region	Košický kraj	Košice, Regio
SK-NI, Name for	Region	Nitriansky kraj	Nitra, Regio
SK-PV, Name for	Region	Prešovský kraj	Prešov, Regio
SK-TA, Name for	Region	Trnavský kraj	Trnava, Regio
SK-TC, Name for	Region	Trenčiansky kraj	Trenčín, Regio
SK-ZI, Name for	Region	Žilinský kraj	Žilina, Regio
SL-E, Name for	Province	Eastern	Oost
SL-N, Name for	Province	Northern	Northern
SL-NW, Name for	Province	North Western	Noord-West
SL-S, Name for	Province	Southern	Zuid
SL-W, Name for	Area	Western Area (Freetown)	Westelijk Gebied (Freetown)
SM-01, Name for	Municipality	Acquaviva	Acquaviva
SM-02, Name for	Municipality	Chiesanuova	Chiesanuova
SM-03, Name for	Municipality	Domagnano	Domagnano
SM-04, Name for	Municipality	Faetano	Faetano
SM-05, Name for	Municipality	Fiorentino	Fiorentino
SM-06, Name for	Municipality	Borgo Maggiore	Borgo Maggiore
SM-07, Name for	Municipality	Città di San Marino	San Marino
SM-08, Name for	Municipality	Montegiardino	Monte Giardino
SM-09, Name for	Municipality	Serravalle	Serravalle
SN-DB, Name for	Region	Diourbel	Diourbel
SN-DK, Name for	Region	Dakar	Dakar
SN-FK, Name for	Region	Fatick	Fatick
SN-KA, Name for	Region	Kaffrine	Kaffrine
SN-KD, Name for	Region	Kolda	Kolda
SN-KE, Name for	Region	Kédougou	Kédougou
SN-KL, Name for	Region	Kaolack	Kaolack
SN-LG, Name for	Region	Louga	Louga
SN-MT, Name for	Region	Matam	Matam
SN-SE, Name for	Region	Sédhiou	Sédhiou
SN-SL, Name for	Region	Saint-Louis	Saint-Louis
SN-TC, Name for	Region	Tambacounda	Tambacounda
SN-TH, Name for	Region	Thiès	Thiès
SN-ZG, Name for	Region	Ziguinchor	Ziguinchor
SO-AW, Name for	Region	Awdal	Awdal
SO-BK, Name for	Region	Bakool	Bakool
SO-BN, Name for	Region	Banaadir	Banaadir
SO-BR, Name for	Region	Bari	Bari
SO-BY, Name for	Region	Bay	Bay
SO-GA, Name for	Region	Galguduud	Galguduud
SO-GE, Name for	Region	Gedo	Gedo
SO-HI, Name for	Region	Hiiraan	Hiiraan
SO-JD, Name for	Region	Jubbada Dhexe	Midden-Juba
SO-JH, Name for	Region	Jubbada Hoose	Neder-Juba
SO-MU, Name for	Region	Mudug	Mudug
SO-NU, Name for	Region	Nugaal	Nugaal
SO-SA, Name for	Region	Sanaag	Sanaag
SO-SD, Name for	Region	Shabeellaha Dhexe	Midden-Shabelle
SO-SH, Name for	Region	Shabeellaha Hoose	Neder-Shabelle
SO-SO, Name for	Region	Sool	Sool
SO-TO, Name for	Region	Togdheer	Togdheer
SO-WO, Name for	Region	Woqooyi Galbeed	Woqooyi Galbeed
SR-BR, Name for	District	Brokopondo	Brokopondo
SR-CM, Name for	District	Commewijne	Commewijne
SR-CR, Name for	District	Coronie	Coronie
SR-MA, Name for	District	Marowijne	Marowijne
SR-NI, Name for	District	Nickerie	Nickerie
SR-PM, Name for	District	Paramaribo	Paramaribo
SR-PR, Name for	District	Para	Para
SR-SA, Name for	District	Saramacca	Saramacca
SR-SI, Name for	District	Sipaliwini	Sipaliwini
SR-WA, Name for	District	Wanica	Wanica
SS-BN, Name for	State	Northern Bahr el Ghazal	Northern Bahr el Ghazal
SS-BW, Name for	State	Western Bahr el Ghazal	Western Bahr el Ghazal
SS-EC, Name for	State	Central Equatoria	Centraal-Equatoria
SS-EE, Name for	State	Eastern Equatoria	Oost-Equatoria
SS-EW, Name for	State	Western Equatoria	West-Equatoria
SS-JG, Name for	State	Jonglei	Jonquali
SS-LK, Name for	State	Lakes	Meren
SS-NU, Name for	State	Upper Nile	Opper-Nijl
SS-UY, Name for	State	Unity	Eenheid
SS-WR, Name for	State	Warrap	Warab
ST-01, Name for	District	Água Grande	Água Grande
ST-02, Name for	District	Cantagalo	Cantagalo
ST-03, Name for	District	Caué	Caué
ST-04, Name for	District	Lembá	Lembá
ST-05, Name for	District	Lobata	Lobata
ST-06, Name for	District	Mé-Zóchi	Mé-Zóchi
ST-P, Name for	Autonomous region	Príncipe	Principe
SV-AH, Name for	Department	Ahuachapán	Ahuachapán
SV-CA, Name for	Department	Cabañas	Cabañas
SV-CH, Name for	Department	Chalatenango	Chalatenango
SV-CU, Name for	Department	Cuscatlán	Cuscatlán
SV-LI, Name for	Department	La Libertad	La Libertad
SV-MO, Name for	Department	Morazán	Morazán
SV-PA, Name for	Department	La Paz	La Paz
SV-SA, Name for	Department	Santa Ana	Santa Ana
SV-SM, Name for	Department	San Miguel	San Miguel
SV-SO, Name for	Department	Sonsonate	Sonsonate
SV-SS, Name for	Department	San Salvador	San Salvador
SV-SV, Name for	Department	San Vicente	San Vicente
SV-UN, Name for	Department	La Unión	La Unión
SV-US, Name for	Department	Usulután	Usulután
SY-DI, Name for	Province	Dimashq	Dimashq
SY-DR, Name for	Province	Dar'ā	Dera
SY-DY, Name for	Province	Dayr az Zawr	Dayr az Zawr
SY-HA, Name for	Province	Al Ḩasakah	Al-Hasakah
SY-HI, Name for	Province	Ḩimş	Homs
SY-HL, Name for	Province	Ḩalab	Aleppo
SY-HM, Name for	Province	Ḩamāh	Hama
SY-ID, Name for	Province	Idlib	Idlib
SY-LA, Name for	Province	Al Lādhiqīyah	Latakia
SY-QU, Name for	Province	Al Qunayţirah	Quneitra;Al Quneitra
SY-RA, Name for	Province	Ar Raqqah	Ar-Raqqah
SY-RD, Name for	Province	Rīf Dimashq	Rif Dimashq
SY-SU, Name for	Province	As Suwaydā'	As-Suwayda
SY-TA, Name for	Province	Ţarţūs	Tartous; Tartus; Tartoes
SZ-HH, Name for	Region	Hhohho	Hhohho
SZ-LU, Name for	Region	Lubombo	Lubombo
SZ-MA, Name for	Region	Manzini	Manzini
SZ-SH, Name for	Region	Shiselweni	Shiselweni
TD-BA, Name for	Province	Al Baţḩā’	Batha
TD-BG, Name for	Province	Bahr el Ghazal	Bahr el Ghazal
TD-BO, Name for	Province	Borkou	Borkou
TD-CB, Name for	Province	Chari-Baguirmi	Chari-Baguirmi
TD-EE, Name for	Province	Ennedi-Est	Ennedi Est
TD-EO, Name for	Province	Ennedi-Ouest	Ennedi Ouest
TD-GR, Name for	Province	Guéra	Guéra
TD-HL, Name for	Province	Hadjer Lamis	Hadjer-Lamis
TD-KA, Name for	Province	Kanem	Kanem
TD-LC, Name for	Province	Al Buḩayrah	Al Buhayrah
TD-LO, Name for	Province	Logone-Occidental	Logone Occidental
TD-LR, Name for	Province	Logone-Oriental	Logone Oriental
TD-MA, Name for	Province	Mandoul	Mandoul
TD-MC, Name for	Province	Moyen-Chari	Moyen-Chari
TD-ME, Name for	Province	Mayo-Kebbi-Est	Mayo-Kebbi Est
TD-MO, Name for	Province	Mayo-Kebbi-Ouest	Mayo-Kebbi Ouest
TD-ND, Name for	Province	Madīnat Injamīnā	Ndjamena
TD-OD, Name for	Province	Ouaddaï	Ouaddaï
TD-SA, Name for	Province	Salamat	Salamat
TD-SI, Name for	Province	Sila	Sila
TD-TA, Name for	Province	Tandjilé	Tandjilé
TD-TI, Name for	Province	Tibastī	Tibesti
TD-WF, Name for	Province	Wadi Fira	Wadi Fira
TG-C, Name for	Region	Centrale	Central
TG-K, Name for	Region	Kara	Karas
TG-M, Name for	Region	Maritime (Région)	Fromager, Regio
TG-P, Name for	Region	Plateaux	Plateaux
TG-S, Name for	Region	Savanes	Savanes
TH-10, Name for	Metropolitan administration	Krung Thep Maha Nakhon	Krung Thep Maha Nakhon Bangkok
TH-11, Name for	Province	Samut Prakan	Samut Prakan
TH-12, Name for	Province	Nonthaburi	Nonthaburi
TH-13, Name for	Province	Pathum Thani	Pathum Thani
TH-14, Name for	Province	Phra Nakhon Si Ayutthaya	Phra Nakhon Si Ayutthaya
TH-15, Name for	Province	Ang Thong	Ang Thong
TH-16, Name for	Province	Lop Buri	Lop Buri
TH-17, Name for	Province	Sing Buri	Sing Buri
TH-18, Name for	Province	Chai Nat	Chai Nat
TH-19, Name for	Province	Saraburi	Saraburi
TH-20, Name for	Province	Chon Buri	Chon Buri
TH-21, Name for	Province	Rayong	Rayong
TH-22, Name for	Province	Chanthaburi	Chanthaburi
TH-23, Name for	Province	Trat	Trat
TH-24, Name for	Province	Chachoengsao	Chachoengsao
TH-25, Name for	Province	Prachin Buri	Prachin Buri
TH-26, Name for	Province	Nakhon Nayok	Nakhon Nayok
TH-27, Name for	Province	Sa Kaeo	Sa Kaeo
TH-30, Name for	Province	Nakhon Ratchasima	Nakhon Ratchasima
TH-31, Name for	Province	Buri Ram	Buri Ram
TH-32, Name for	Province	Surin	Surin
TH-33, Name for	Province	Si Sa Ket	Si Sa Ket
TH-34, Name for	Province	Ubon Ratchathani	Ubon Ratchathani
TH-35, Name for	Province	Yasothon	Yasothon
TH-36, Name for	Province	Chaiyaphum	Chaiyaphum
TH-37, Name for	Province	Amnat Charoen	Amnat Charoen
TH-38, Name for	Province	Bueng Kan	Stoeng Treng
TH-39, Name for	Province	Nong Bua Lam Phu	Nong Bua Lam Phu
TH-40, Name for	Province	Khon Kaen	Khon Kaen
TH-41, Name for	Province	Udon Thani	Udon Thani
TH-42, Name for	Province	Loei	Loei
TH-43, Name for	Province	Nong Khai	Nong Khai
TH-44, Name for	Province	Maha Sarakham	Maha Sarakham
TH-45, Name for	Province	Roi Et	Roi Et
TH-46, Name for	Province	Kalasin	Kalasin
TH-47, Name for	Province	Sakon Nakhon	Sakon Nakhon
TH-48, Name for	Province	Nakhon Phanom	Nakhon Phanom
TH-49, Name for	Province	Mukdahan	Mukdahan
TH-50, Name for	Province	Chiang Mai	Chiang Mai
TH-51, Name for	Province	Lamphun	Lamphun
TH-52, Name for	Province	Lampang	Lampang
TH-53, Name for	Province	Uttaradit	Uttaradit
TH-54, Name for	Province	Phrae	Phrae
